Date,Time,Opponent,Player,Boldholder,Medspiller,Presspiller,Støttespiller
2025-02-25,09:00,Morning Team,Test1,B,B,A,B
2025-02-25,09:00,Morning Team,Test2,A,C,B,D
2025-02-25,09:00,Morning Team,Test3,D,D,A,D
2025-02-25,09:00,Morning Team,Test4,B,A,D,D
2025-02-25,09:00,Morning Team,Test5,C,D,B,A
2025-02-25,15:00,Afternoon Team,Test1,B,A,A,A
2025-02-25,15:00,Afternoon Team,Test2,B,C,B,B
2025-02-25,15:00,Afternoon Team,Test3,A,D,A,A
2025-02-25,15:00,Afternoon Team,Test4,B,A,D,D
2025-02-25,15:00,Afternoon Team,Test5,B,B,A,B
2025-02-23,12:00,Team Alpha,Test1,D,A,C,B
2025-02-23,12:00,Team Alpha,Test2,A,C,A,D
2025-02-23,12:00,Team Alpha,Test3,D,D,A,D
2025-02-23,12:00,Team Alpha,Test4,A,B,D,B
2025-02-23,12:00,Team Alpha,Test5,B,C,C,D
2025-02-24,14:00,Team Beta,Test1,D,B,D,A
2025-02-24,14:00,Team Beta,Test2,C,B,B,B
2025-02-24,14:00,Team Beta,Test3,A,C,B,C
2025-02-24,14:00,Team Beta,Test4,C,A,B,A
2025-02-24,14:00,Team Beta,Test5,A,C,A,C
2025-02-26,10:00,Team Gamma,Test1,C,A,C,C
2025-02-26,10:00,Team Gamma,Test2,C,B,A,D
2025-02-26,10:00,Team Gamma,Test3,C,B,A,C
2025-02-26,10:00,Team Gamma,Test4,B,A,A,D
2025-02-26,10:00,Team Gamma,Test5,C,A,A,C
